model,status,match,differences,n_params,theta_keys
ddm_mic2_adj,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",9,"vh, vl1, vl2, a, zh, zl1, zl2, d, t"
ddm_mic2_adj_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",6,"vh, vl1, vl2, a, d, t"
ddm_mic2_adj_conflict_gamma_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",10,"vh, vl1, vl2, d, t, a, theta, scale, alphaGamma, scaleGamma"
ddm_mic2_adj_angle_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"vh, vl1, vl2, a, d, t, theta"
ddm_mic2_adj_weibull_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"vh, vl1, vl2, a, d, t, alpha, beta"
ddm_mic2_ornstein,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",10,"vh, vl1, vl2, a, zh, zl1, zl2, d, g, t"
ddm_mic2_ornstein_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"vh, vl1, vl2, a, d, g, t"
ddm_mic2_ornstein_no_bias_no_lowdim_noise,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; metadata.model: ddm_mic2_ornstein_no_bias_no_lowdim_noise vs ddm_mic2_ornstein_no_bias",7,"vh, vl1, vl2, a, d, g, t"
ddm_mic2_ornstein_conflict_gamma_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",11,"vh, vl1, vl2, d, g, t, a, theta, scale, alphaGamma, scaleGamma"
ddm_mic2_ornstein_conflict_gamma_no_bias_no_lowdim_noise,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; metadata.model: ddm_mic2_ornstein_conflict_gamma_no_bias_no_lowdim_noise vs ddm_mic2_ornstein_conflict_gamma_no_bias",11,"vh, vl1, vl2, d, g, t, a, theta, scale, alphaGamma, scaleGamma"
ddm_mic2_ornstein_angle_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"vh, vl1, vl2, a, d, g, t, theta"
ddm_mic2_ornstein_angle_no_bias_no_lowdim_noise,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; metadata.model: ddm_mic2_ornstein_angle_no_bias_no_lowdim_noise vs ddm_mic2_ornstein_angle_no_bias",8,"vh, vl1, vl2, a, d, g, t, theta"
